02/06/2025;74495;MUND27;8;10;75;40,5;2
02/06/2025;74495;MUND27;34;10;150;90,125;2
02/06/2025;74495;MUND27;37;15;70;42,63;2
02/06/2025;74501;RAPPI BARRA3;419;4;1,75;1,032;2
16/06/2025;74839;SAGA;3901;0,2;5,2;20,78;2
